user_id,segment_id,segment_name
user_0198,0,Tech Browsers
user_0199,1,Home Improvers
user_0200,2,Tech Browsers
user_0201,0,Tech Browsers
user_0202,1,Home Improvers
user_0203,4,Active Lifestyle
user_0204,0,Tech Browsers
user_0205,1,Home Improvers
user_0206,1,Home Improvers
user_0207,2,Tech Browsers
user_0208,3,Fashion Explorers
user_0209,4,Active Lifestyle
user_0210,1,Home Improvers
user_0211,4,Active Lifestyle
user_0212,4,Active Lifestyle
user_0213,3,Fashion Explorers
user_0214,0,Tech Browsers
user_0215,0,Tech Browsers
user_0216,0,Tech Browsers
user_0217,2,Tech Browsers
user_0218,0,Tech Browsers
user_0219,2,Tech Browsers
user_0220,1,Home Improvers
user_0221,4,Active Lifestyle
user_0222,4,Active Lifestyle
user_0223,1,Home Improvers
user_0224,0,Tech Browsers
user_0225,0,Tech Browsers
user_0226,1,Home Improvers
user_0227,4,Active Lifestyle
user_0228,4,Active Lifestyle
user_0229,2,Tech Browsers
user_0230,0,Tech Browsers
user_0231,1,Home Improvers
user_0232,2,Tech Browsers
user_0233,1,Home Improvers
user_0234,3,Fashion Explorers
user_0235,2,Tech Browsers
user_0236,1,Home Improvers
user_0237,0,Tech Browsers
user_0238,4,Active Lifestyle
user_0239,0,Tech Browsers
user_0240,3,Fashion Explorers
user_0241,3,Fashion Explorers
user_0242,0,Tech Browsers
user_0243,4,Active Lifestyle
user_0244,1,Home Improvers
user_0245,1,Home Improvers
user_0246,0,Tech Browsers
user_0247,2,Tech Browsers
user_0248,0,Tech Browsers
user_0249,0,Tech Browsers
user_0250,1,Home Improvers
user_0251,0,Tech Browsers
user_0252,2,Tech Browsers
user_0253,2,Tech Browsers
user_0254,0,Tech Browsers
user_0255,1,Home Improvers
user_0256,2,Tech Browsers
user_0257,2,Tech Browsers
user_0258,0,Tech Browsers
user_0259,3,Fashion Explorers
user_0260,3,Fashion Explorers
user_0261,2,Tech Browsers
user_0262,2,Tech Browsers
user_0263,0,Tech Browsers
user_0264,0,Tech Browsers
user_0265,0,Tech Browsers
user_0266,4,Active Lifestyle
user_0267,1,Home Improvers
user_0268,1,Home Improvers
user_0269,0,Tech Browsers
user_0270,4,Active Lifestyle
user_0271,4,Active Lifestyle
user_0272,0,Tech Browsers
user_0273,1,Home Improvers
user_0274,3,Fashion Explorers
user_0275,3,Fashion Explorers
user_0276,1,Home Improvers
user_0277,3,Fashion Explorers
user_0278,1,Home Improvers
user_0279,1,Home Improvers
user_0280,1,Home Improvers
user_0281,3,Fashion Explorers
user_0282,1,Home Improvers
user_0283,0,Tech Browsers
user_0284,0,Tech Browsers
user_0285,3,Fashion Explorers
user_0286,1,Home Improvers
user_0287,2,Tech Browsers
user_0288,1,Home Improvers
user_0289,4,Active Lifestyle
user_0290,1,Home Improvers
user_0291,4,Active Lifestyle
user_0292,1,Home Improvers
user_0293,2,Tech Browsers
user_0294,0,Tech Browsers
user_0295,4,Active Lifestyle
user_0296,0,Tech Browsers
user_0297,3,Fashion Explorers
user_0298,0,Tech Browsers
user_0299,4,Active Lifestyle
user_0300,4,Active Lifestyle
user_0301,2,Tech Browsers
user_0302,2,Tech Browsers
user_0303,1,Home Improvers
user_0304,1,Home Improvers
user_0305,0,Tech Browsers
user_0306,2,Tech Browsers
user_0307,3,Fashion Explorers
user_0308,1,Home Improvers
user_0309,3,Fashion Explorers
user_0310,4,Active Lifestyle
user_0311,1,Home Improvers
user_0312,3,Fashion Explorers
user_0313,3,Fashion Explorers
user_0314,1,Home Improvers
user_0315,1,Home Improvers
user_0316,0,Tech Browsers
user_0317,4,Active Lifestyle
user_0318,1,Home Improvers
user_0319,2,Tech Browsers
user_0320,2,Tech Browsers
user_0321,4,Active Lifestyle
user_0322,3,Fashion Explorers
user_0323,2,Tech Browsers
user_0324,3,Fashion Explorers
user_0325,2,Tech Browsers
user_0326,3,Fashion Explorers
user_0327,0,Tech Browsers
user_0328,4,Active Lifestyle
user_0329,3,Fashion Explorers
user_0330,4,Active Lifestyle
user_0331,1,Home Improvers
user_0332,1,Home Improvers
user_0333,1,Home Improvers
user_0334,3,Fashion Explorers
user_0335,3,Fashion Explorers
user_0336,2,Tech Browsers
user_0337,4,Active Lifestyle
user_0338,1,Home Improvers
user_0339,1,Home Improvers
user_0340,0,Tech Browsers
user_0341,4,Active Lifestyle
user_0342,3,Fashion Explorers
user_0343,4,Active Lifestyle
user_0344,3,Fashion Explorers
user_0345,3,Fashion Explorers
user_0346,3,Fashion Explorers
user_0347,0,Tech Browsers
user_0348,3,Fashion Explorers
user_0349,0,Tech Browsers
user_0350,2,Tech Browsers
user_0351,1,Home Improvers
user_0352,4,Active Lifestyle
user_0353,0,Tech Browsers
user_0354,4,Active Lifestyle
user_0355,1,Home Improvers
user_0356,3,Fashion Explorers
user_0357,3,Fashion Explorers
user_0358,0,Tech Browsers
user_0359,3,Fashion Explorers
user_0360,4,Active Lifestyle
user_0361,0,Tech Browsers
user_0362,0,Tech Browsers
user_0363,2,Tech Browsers
user_0364,1,Home Improvers
user_0365,4,Active Lifestyle
user_0366,3,Fashion Explorers
user_0367,1,Home Improvers
user_0368,0,Tech Browsers
user_0369,3,Fashion Explorers
user_0370,4,Active Lifestyle
user_0371,0,Tech Browsers
user_0372,1,Home Improvers
user_0373,0,Tech Browsers
user_0374,1,Home Improvers
user_0375,0,Tech Browsers
user_0376,2,Tech Browsers
user_0377,0,Tech Browsers
user_0378,1,Home Improvers
user_0379,3,Fashion Explorers
user_0380,0,Tech Browsers
user_0381,2,Tech Browsers
user_0382,2,Tech Browsers
user_0383,2,Tech Browsers
user_0384,1,Home Improvers
user_0385,4,Active Lifestyle
user_0386,0,Tech Browsers
user_0387,0,Tech Browsers
user_0388,0,Tech Browsers
user_0389,2,Tech Browsers
user_0390,2,Tech Browsers
user_0391,0,Tech Browsers
user_0392,0,Tech Browsers
user_0393,3,Fashion Explorers
user_0394,4,Active Lifestyle
user_0395,3,Fashion Explorers
user_0396,3,Fashion Explorers
user_0397,4,Active Lifestyle
user_0398,2,Tech Browsers
user_0399,4,Active Lifestyle
user_0400,4,Active Lifestyle
user_0401,2,Tech Browsers
user_0402,1,Home Improvers
user_0403,3,Fashion Explorers
user_0404,2,Tech Browsers
user_0405,2,Tech Browsers
user_0406,3,Fashion Explorers
user_0407,1,Home Improvers
user_0408,3,Fashion Explorers
user_0409,0,Tech Browsers
user_0410,2,Tech Browsers
user_0411,3,Fashion Explorers
user_0412,4,Active Lifestyle
user_0413,4,Active Lifestyle
user_0414,1,Home Improvers
user_0415,0,Tech Browsers
user_0416,0,Tech Browsers
user_0417,4,Active Lifestyle
user_0418,2,Tech Browsers
user_0419,0,Tech Browsers
user_0420,3,Fashion Explorers
user_0421,0,Tech Browsers
user_0422,2,Tech Browsers
user_0423,3,Fashion Explorers
user_0424,0,Tech Browsers
user_0425,1,Home Improvers
user_0426,2,Tech Browsers
user_0427,3,Fashion Explorers
user_0428,1,Home Improvers
user_0429,3,Fashion Explorers
user_0430,4,Active Lifestyle
user_0431,3,Fashion Explorers
user_0432,3,Fashion Explorers
user_0433,2,Tech Browsers
user_0434,4,Active Lifestyle
user_0435,3,Fashion Explorers
user_0436,2,Tech Browsers
user_0437,1,Home Improvers
user_0438,0,Tech Browsers
user_0439,1,Home Improvers
user_0440,4,Active Lifestyle
user_0441,3,Fashion Explorers
user_0442,1,Home Improvers
user_0443,4,Active Lifestyle
user_0444,4,Active Lifestyle
user_0445,4,Active Lifestyle
user_0446,0,Tech Browsers
user_0447,4,Active Lifestyle
user_0448,1,Home Improvers
user_0449,0,Tech Browsers
user_0450,0,Tech Browsers
user_0451,2,Tech Browsers
user_0452,3,Fashion Explorers
user_0453,4,Active Lifestyle
user_0454,2,Tech Browsers
user_0455,0,Tech Browsers
user_0456,3,Fashion Explorers
user_0457,4,Active Lifestyle
user_0458,0,Tech Browsers
user_0459,1,Home Improvers
user_0460,2,Tech Browsers
user_0461,2,Tech Browsers
user_0462,2,Tech Browsers
user_0463,3,Fashion Explorers
user_0464,0,Tech Browsers
user_0465,2,Tech Browsers
user_0466,3,Fashion Explorers
user_0467,4,Active Lifestyle
user_0468,0,Tech Browsers
user_0469,1,Home Improvers
user_0470,1,Home Improvers
user_0471,0,Tech Browsers
user_0472,3,Fashion Explorers
user_0473,3,Fashion Explorers
user_0474,3,Fashion Explorers
user_0475,1,Home Improvers
user_0476,1,Home Improvers
user_0477,1,Home Improvers
user_0478,2,Tech Browsers
user_0479,2,Tech Browsers
user_0480,4,Active Lifestyle
user_0481,2,Tech Browsers
user_0482,0,Tech Browsers
user_0483,0,Tech Browsers
user_0484,0,Tech Browsers
user_0485,1,Home Improvers
user_0486,2,Tech Browsers
user_0487,2,Tech Browsers
user_0488,1,Home Improvers
user_0489,3,Fashion Explorers
user_0490,1,Home Improvers
user_0491,1,Home Improvers
user_0492,3,Fashion Explorers
user_0493,2,Tech Browsers
user_0494,1,Home Improvers
user_0495,1,Home Improvers
user_0496,2,Tech Browsers
user_0497,1,Home Improvers
user_0498,4,Active Lifestyle
user_0499,2,Tech Browsers
user_0500,0,Tech Browsers
